income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month,fraud_bool
0.5,0.6155216950619093,-1,269,30,0.0173444995753496,18.902219891825823,AA,1764,3901.654143026986,4095.258220205652,5233.777664724894,1508,9,CA,115,0,BE,0,1,2,0,500.0,0,INTERNET,6.125538665442232,windows,1,1,0,4,0
0.6000000000000001,0.6660283767250771,-1,149,50,0.002919375857784,-0.6523957212017706,AB,1430,6618.330973717552,4212.758092452702,5669.7623988726,13,3,CA,268,1,BA,0,1,30,0,1500.0,0,INTERNET,29.258151500491124,windows,1,1,0,1,1
0.9,0.2522789727603251,-1,84,30,0.0218016033302609,-0.8823265243225678,AD,1063,1458.5335361892871,3035.251576668788,3510.0244218611424,15,6,CA,291,1,BA,1,0,20,0,500.0,0,INTERNET,0.7605398672437688,windows,1,1,0,6,1
0.6000000000000001,0.8727680840903859,-1,48,30,0.0165987559080859,-1.3973900435619735,AB,1387,4669.928995065771,4909.811460231258,5383.914717333377,1938,13,CB,89,0,BC,0,1,31,0,200.0,0,INTERNET,4.6333215721691134,windows,1,1,0,1,0
0.1,0.4214235219461389,-1,299,40,0.005679988131344,-0.6458992229522221,AB,501,963.9628226538624,5914.881226758093,6233.564973601203,14,7,CA,262,0,BA,0,1,10,0,1500.0,0,INTERNET,3.7901308094207775,windows,0,1,0,0,1
0.4,0.1666081799266171,-1,105,40,0.0045276467892129,-1.0738122233287808,AB,1199,3045.8394833739576,2899.886401109085,4352.986378908094,1,3,CC,70,1,BA,0,1,-1,0,200.0,0,INTERNET,5.662472545424283,linux,0,1,0,6,1
0.9,0.1227119116811054,-1,6,30,18.706377647452488,-0.5213489695630941,AC,1490,4643.93960514927,6672.408665228802,5552.479309939188,1,12,CA,33,1,BA,0,1,-1,0,200.0,0,INTERNET,5.403067373111607,windows,0,1,0,1,1
0.9,0.8661964245993832,-1,257,70,0.0481069187731455,-0.9850632588917188,AD,476,4985.295630858745,4881.560551165868,4294.875643847702,14,2,CC,135,1,BB,1,0,1,0,500.0,0,INTERNET,3.2253614460278226,linux,1,1,0,5,0
0.9,0.0527485519600725,-1,44,50,0.0388887183369553,-1.37716613983719,AA,963,3465.692196750844,4847.439813975439,5086.601762739964,2,8,CA,243,1,BC,1,0,31,0,500.0,0,INTERNET,7.808733876267687,windows,0,1,0,3,1
0.8,0.5407228640656553,24,21,20,0.0072621177061194,-0.7127685184199828,AD,1589,6006.263426064767,5985.9220622885705,5985.201645639963,1,23,CB,114,1,BC,0,1,5,0,200.0,0,INTERNET,17.984651353348028,linux,0,2,0,0,0
0.9,0.0794610627004214,-1,78,40,0.0349154844181368,31.9905431649157,AA,1226,8101.99729664539,6819.407993727054,6721.826047467853,1,6,CA,51,1,BB,1,1,28,0,200.0,0,INTERNET,3.909610054290472,other,1,1,0,0,0
0.9,0.172403158939505,-1,67,40,0.0299884128440556,-0.604765932759272,AB,2255,3788.186849525555,5084.345345845635,5323.888573445048,52,13,CB,65,1,BE,1,1,30,0,200.0,0,INTERNET,2.5120212556086545,other,1,1,0,1,1
0.1,0.3645324620976752,-1,110,30,2.997833304065232,-1.0547364723821369,AC,954,5430.4432564563895,4629.249557129416,4949.467034253886,1,7,CA,98,1,BA,0,1,-1,0,200.0,0,INTERNET,4.290761846089545,other,0,0,0,2,1
0.1,0.1563692542482936,-1,64,20,0.0291407408752276,-1.31199599438493,AB,1760,7103.946689357696,9182.485369436625,5460.366885501469,1,15,CA,115,0,BC,0,1,1,0,200.0,0,INTERNET,2.8115091424771554,linux,1,1,0,1,0
0.8,0.2769630385049126,-1,213,50,0.0320430645440814,-0.4213702860741666,AB,909,2085.213910681673,4920.729622415871,5004.630797378155,20,5,CA,337,0,BA,0,1,10,0,1500.0,0,INTERNET,4.145697471388009,windows,1,1,0,3,1
0.4,0.0921898662183512,-1,69,60,0.0380732342357624,-1.0685622682200806,AB,1667,7658.909358941729,3884.8541455393433,4891.331939653156,2,1,CA,306,0,BA,0,1,2,0,2000.0,0,INTERNET,2.4597271590455234,windows,0,1,0,3,1
0.7000000000000001,0.1556025265859132,-1,12,20,3.195534078879203,24.311923314809352,AA,3253,10001.499354130783,7636.359418098138,5103.727609120649,3,12,CA,17,0,BE,0,1,20,0,200.0,0,INTERNET,3.068204889659884,linux,1,1,0,2,1
0.3,0.4865405426236178,29,3,20,0.0028582362409167,-0.8831668430160131,AB,341,3900.54021005298,4141.406980974856,5589.13026752405,10,19,CA,126,1,BC,0,1,23,0,200.0,0,INTERNET,1.6267595594929918,linux,1,1,0,2,0
0.3,0.1643751614360694,12,39,20,0.000643520087709,-1.0547423780451377,AC,1817,1644.8962262345574,4740.672666254851,4407.661855411994,0,18,CA,116,1,BC,1,1,25,0,200.0,0,INTERNET,5.889408926558148,windows,0,1,0,5,1
0.8,0.1324448252064571,28,3,20,0.0066218406638321,31.221784648037247,AA,2449,4258.2978691919225,2439.519488866076,3110.975607997639,1,7,CA,125,1,BC,1,1,-1,0,500.0,0,INTERNET,6.535757355495938,windows,0,1,0,7,1
0.8,0.2142614133265102,-1,69,20,0.0078584511272353,-0.7212409147940819,AD,3498,2593.085212394851,6092.311420476404,4137.71287073114,2,23,CF,190,1,BC,1,1,1,0,1500.0,0,INTERNET,1.7130003964285123,windows,1,1,0,1,0
0.8,0.5655476010824405,-1,24,40,0.0091071918388726,32.676414627480824,AA,1121,7417.54667598355,4513.759506421142,4228.990498245984,7,7,CA,129,1,BC,1,1,1,0,510.0,0,INTERNET,6.477397347417197,linux,1,1,0,4,0
0.9,0.0909137344075664,59,6,30,0.0188962045631315,8.26061103475744,AA,1375,3712.09278468111,3646.339532137385,4802.505985461521,7,6,CA,175,1,BB,0,1,1,0,500.0,0,INTERNET,13.806402632871071,other,1,1,0,3,0
